127.0.0.1 - - [04/Mar/2023:14:20:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:21:02 +0530] "GET /springMVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:21:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:21:07 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:24 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:24 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:25 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:25 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:25 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:22:43 +0530] "GET /springMVC/contact HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:23:22 +0530] "GET /springMVC/contact HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:27:18 +0530] "GET /springMVC/contact HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:37:32 +0530] "GET /springMVC/contact HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:37:42 +0530] "GET /springMVC/contact HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:37:44 +0530] "GET /springMVC/contact? HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:46:03 +0530] "GET /springMVC/contact? HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:47:41 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:47:43 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:47:44 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:47:51 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:48:00 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:48:14 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:49:33 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [04/Mar/2023:14:49:45 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:26:30 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:26:36 +0530] "POST /processform HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:31:04 +0530] "POST /processform HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:31:08 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:31:26 +0530] "GET /springMVC/contact? HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Mar/2023:15:31:32 +0530] "POST /springMVC/processform HTTP/1.1" 404 756
